191,C,Chiara,Barcella
192,C,Claudia,Ciccotti
745,D,Moeka,Minami
194,D,Chiara,Cecotti
195,D,Federica,Veritti
196,P,Maria Grazia,Balbi
197,D,Francesca,Soro
198,D,Ilaria,Trotta
199,D,Paola,Boglioni
815,A,Elisa,del Estal
201,D,Marta,Varriale
202,C,Azzurra,Corazzi
903,D,Verena,Hanshaw Aschauer
204,C,Francesca,Imprezzabile
205,C,Silvia,Pisano
206,C,Martina,Capelli
207,A,Serena,Cortesi
208,C,Karin,Czeczka
209,D,Guya,Vavassori
9,C,Valentina,Cernoia
39,C,Sofie Junge,Pedersen
212,D,Valeria,Gardel
213,D,Antonella,Marrone
214,C,Elisa,Caucci
77,C,Greta,Adami
216,D,Ginevra,Costantino
107,C,Flaminia,Simonetti
218,D,Marta,Brasi
219,C,Federica,Parsani
220,P,Giada,Pilato
221,D,Nika,Babnik
222,C,Francesca,Blasoni
223,D,Elisa,Donda
262,C,Norma,Cinotti
225,C,Irene,Mazzella
226,D,Simona,Parrini
227,C,Boralda,Aliaj
228,C,Irene,Lotti
587,P,Pauline,Peyraud-Magnin
230,A,Elisa,Gaspari
231,C,Chiara,Poeta
232,D,Eleonora,Cunsolo
801,C,Dominika,Skorvankova
234,P,Paula Hannele,Myllyoja
235,C,Giorgia,De Vecchis
804,D,Marina,Georgieva
237,C,Mia,Bellucci
238,C,Claudia Luisa,Crippa
239,D,Alice,Foti
863,C,Paulina,Krumbiegel
241,D,Giorgia,Milesi
242,D,Michela,Milesi
243,P,Valentina,Casaroli
244,P,Martina,Galloni
245,C,Ilaria,Capitanelli
246,C,Giulia,Cotrer
114,D,Maria Luisa,Filangeri
248,C,Marta,Morreale
249,P,Ilaria,Leoni
250,C,Claudia,Natali
147,A,Sara,Baldi
252,A,Anita,Coda
253,A,Giulia,Mandelli
254,D,Giulia,Segalini
255,D,Angela,Orlando
256,C,Veronica,Battelani
257,A,Giusy,Farago
258,A,Veronica,Benedetti
259,C,Teresa,Gallo
260,C,Giada,Zhou
261,D,Alexandra,Tunoaia
565,A,Marija,Banusic
263,P,Alice,Lugli
582,C,Ghoutia,Karchouni
636,D,Beatrix,Fordos
266,P,Linda,Fenzi
267,C,Federica,Buonamassa
268,C,Angela,Mascia
269,D,Maria,Palama
270,D,Laura,Capucci
271,D,Margherita,Brscic
272,C,Ludovica,Silvioni
273,P,Sabrina,Tasselli
274,A,Sara,Tamborini
650,A,Noemi,Visentin
276,P,Marika,Fontana
277,C,Gaia,Milan
278,A,Francesca,Bettinardi
279,D,Anna,Cavalca
280,P,Rebecca,Di Fronzo
281,D,Rossella,Larenza
282,C,Elisa,Paparrella
283,P,Francesca,Fabiano
284,C,Isabel,Pirriatore
285,A,Flavia,Devoto
286,D,Carlotta,Masu
287,P,Francesca,Zanzi
288,C,Alessia,Salvi
289,A,Marzia,Visani
290,P,Nicole,Lauria
291,P,Costanza,Nicola
292,D,Giorgia,Tiberio
293,D,Ilaria,Alunno
294,C,Lady,Andrade
295,C,Kristrun,Antonsdottir
296,C,HailaI,Arghandiwal
297,C,Lara,Barbieri
298,D,Anna,Baroni
299,D,Eleonora,Binazzi
300,D,Jenny,Bitzer
301,D,Ilaria,Bonaiuti
302,P,Alice,Bonassi
303,A,Valentina,Boni
304,A,Patrizia,Caccamo
305,A,Isabel,Cacciamali
306,C,Greta,Campana
307,C,Erika,Campesi
308,C,Elisa,Camporese
309,C,Veronica,Cangiano
310,A,Trudi Sudan,Carter
311,C,Eleomora,Castellani
312,C,Federica,Cavicchia
313,A,Biancamaria,Codeca
314,A,Francesca,Comacchio
315,A,Alessia,Confalonieri
316,C,Fabiana,Costi
317,C,Katarzyna,Daleszczyk
318,A,Sofia,Del Stabile
319,C,Giulia,Domenichetti
320,D,Petronella,Ekroth
321,D,Lisa,Faccioli
322,C,Giulia,Ferrandi
323,C,Francesca,Fiore
324,A,Shameeka Nikoda,Fishley
325,C,Valeria,Fodri
326,A,Martina,Foiadelli
327,D,Saga,Fredriksson
328,D,Gloria,Frizza
329,C,Giulia,Fusar Poli
330,A,Silvia,Fuselli
331,P,Katia,Ghioc
332,C,Laura,Ghisi
333,A,Margherita,Giubilato
334,C,Ionna Maria,Goula
335,A,Elena,Govetto
336,A,Riikka,Hannula
337,D,Lucia,Harshanyova
338,C,Sandy,Iannella
339,P,Anna Rosa,James Buhigas
340,D,Adrienne,Jordan
341,C,Maegan,Kelly
342,A,Heidi,Kollanen
343,C,Lilyana,Kostova
344,D,Ilaria,Lazzari
345,D,Valeria,Madaschi
346,D,Gloria,Magni
347,D,Silvia,Marchesi
348,A,Giorgia,Marchiori
349,A,Alice,Martani
350,C,Francesca,Martella
351,C,Debora,Mascanzoni
352,D,Daiana,Mascanzoni
353,A,Marta,Mason
354,A,Chiara,Massussi
355,D,Eilish,Mcsorley
356,C,Cristina,Merli
357,C,Noemi,Montemurro
358,C,Thaisa,Moreno
359,P,Alima,Moro
360,D,Giorgia,Motta
361,A,Martina,Naldoni
362,C,Alessandra,Nencioni
363,C,Ashley,Nick
364,C,Sara,Novelli
365,C,Sonia Maria,O Neill
749,D,Caroline,Pleidrup Gram
367,C,Lucia,Ondrusova
368,C,Sara,Osetta
369,A,Chiara,Pasqualini
370,D,Toriana,Patterson
371,A,Giorgia,Pellegrinelli
372,D,Eleonora,Piacezzi
373,A,Martina,Piemonte
374,A,Beatrice,Piovani
803,D,Emma Skou,Faerge
376,A,Carolina,Poli
377,C,Eleonora,Prost
378,C,Siojli,Pugnetti
379,P,Bianca,Raicu
380,P,Martina,Resmini
381,C,Penelope,Riboldi
794,D,Oihane,Valdezate
383,A,Laura,Rus
384,P,Federica,Russo
385,D,Eleonora,Salamon
386,C,ddd,dfdf
387,P,Margherita,Salvi
388,A,Lianne,Sanderson
389,P,Asia,Sargenti
390,A,Andrea,Scarpellini
391,C,Marusa,Sevsek
392,A,Isabel,Sgaramella
393,C,Daniela,Stracchi
394,C,Lucia,Strisciuglio
395,P,Nicole,Studer
396,C,Sara,Tardini
397,P,Gaelle,Thalmann
398,C,Benghalina,Tihsler
399,D,Giada,Tomasi
400,D,Elisabetta,Tona
401,P,Alice,Valgimigli
402,D,Ginevra,Valgimigli
403,D,Michela,Verzetelli
404,D,Noemi,Vicini
405,D,Elena,Virgili
406,D,Chiara,Viscardi
407,C,Silvia,Vivrito
408,C,Florin,Wagner
409,D,Nike,Winter
410,D,Sofia,Zamarra
411,D,Martina,Zamboni
412,C,Maria,Zuliani
413,D,Janni,Arnth
414,A,Margherita,Monnecchi
415,C,Madison,Solow
416,C,Lucrezia,Salimbeni
417,A,Maria,Alves
418,C,Claudia,Mauri
419,C,Refiloe,Jane
420,D,Grace,Cutler
421,A,Teresa,Fracas
422,P,Matilde,Copetti
423,D,Francesca,Molinaro
424,D,Eleonora,Pozzecco
425,D,Erika,Covalero
426,A,Silvia,Zanni
427,C,Carla,Portillo
428,C,Kristyna,Sivakova
429,C,Shona,Zammit
430,C,Mia,Kalasic
431,C,Henna,Honkanen
432,C,Tina,Marolt
26,C,Frederikke,Thogersen
434,A,Karin,Muya
435,C,Tjasa,Tibaut
436,C,Linda,Nyman
437,P,Rebecca,Tinti
438,C,Sara,Nilsson
439,P,Catalina,Perez Jaramillo
440,A,Berglind Bjorg,Thorvaldsdottir
441,C,Pamela,Begic
442,C,Yoreli,Rincon
443,A,Emelie,Helmwall
46,A,Melania,Martinovic
445,C,Andrea Mist,Palsdottir
446,C,Dalia,Bonzi
447,C,Emma,Santamaki
448,C,Claudia,Cagnina
449,D,Marta,Maffei
450,C,Erika,De Pellegrini
451,A,Eleonora,Franco
75,C,Kaja,Erzen
